DATE,GENERATED,EXPORTED,USED,PEAK_POWER,PEAK_TIME,CONDITION,TEMPERATURE_MIN,TEMPERATURE_MAX,COMMENTS,IMPORT_PEAK,IMPORT_OFF_PEAK,IMPORT_SHOULDER,CREDIT,DEBIT
27/12/19,3400,,,1058,14:30,Cloudy,14.40,31.20,"Updated 15:39 UTC+1:00",,,,,
26/12/19,500,,,155,12:00,Showers,14.50,22.20,"Updated 14:07 UTC+1:00",,,,,
25/12/19,2000,,,1141,13:30,Showers,15.00,28.50,"Updated 15:48 UTC+1:00",,,,,
24/12/19,300,,,177,13:50,Showers,15.20,22.30,"Updated 14:42 UTC+1:00",,,,,
23/12/19,1500,,,777,15:00,Showers,14.70,26.80,"Updated 15:38 UTC+1:00",,,,,
22/12/19,300,,,154,12:45,Showers,14.80,22.10,"Updated 14:17 UTC+1:00",,,,,
21/12/19,400,,,222,12:05,Showers,15.40,22.90,"Updated 13:52 UTC+1:00",,,,,
20/12/19,300,,,140,11:15,Showers,16.40,22.70,"Updated 15:52 UTC+1:00",,,,,
19/12/19,1600,,,933,14:20,Showers,15.30,27.70,"Updated 15:17 UTC+1:00",,,,,
18/12/19,2100,,,849,14:10,Showers,15.90,27.70,"Updated 15:47 UTC+1:00",,,,,
17/12/19,700,,,1044,14:05,Showers,15.50,25.80,"Updated 15:06 UTC+1:00",,,,,
16/12/19,500,,,168,13:35,Showers,14.20,22.30,"Updated 14:24 UTC+1:00",,,,,
15/12/19,900,,,850,14:20,Showers,14.00,23.90,"Updated 14:44 UTC+1:00",,,,,
14/12/19,800,,,570,12:00,Showers,14.40,23.70,"Updated 14:42 UTC+1:00",,,,,
13/12/19,300,,,95,14:40,Showers,13.90,21.00,"Updated 15:11 UTC+1:00",,,,,
12/12/19,2600,,,1002,14:00,Cloudy,13.40,28.90,"Updated 16:08 UTC+1:00",,,,,
11/12/19,1600,,,919,13:55,Showers,14.00,26.60,"Updated 15:26 UTC+1:00",,,,,
10/12/19,1700,,,790,12:35,Showers,13.90,25.50,"Updated 15:09 UTC+1:00",,,,,
09/12/19,1000,,,687,12:50,Showers,14.20,24.60,"Updated 15:56 UTC+1:00",,,,,
08/12/19,1300,,,986,13:50,Showers,15.40,25.80,"Updated 15:26 UTC+1:00",,,,,
07/12/19,500,,,165,13:20,Showers,14.80,22.70,"Updated 15:29 UTC+1:00",,,,,
06/12/19,0,,,43,11:30,Not Sure,14.60,20.80,"Updated 15:08 UTC+1:00",,,,,
05/12/19,1100,,,440,11:35,Showers,13.90,24.40,"Updated 14:24 UTC+1:00",,,,,
